,text
18,"IPC Section 354B: Any man who assaults or uses criminal force to any woman or abets such act with the intention of disrobing or compelling her to
be naked, shall be punished with imprisonment of either description for a term which shall not be less than three years but which may extend to seven years, and shall also be liable to fine. changes to BNSClause 75: Whoever assaults or uses criminal force to any woman or abets such act with the intention of disrobing or compelling her to be naked, shall be punished with imprisonment of either description for a term which shall not be less than three years but which may extend to seven years, and shall also be
liable to fine.The Implication of revision is This makes the offence gender neutral qua the offender."
19,"IPC Section 354C: Any man who watches, or captures the image of changes to BNSClause 76: Whoever watches, or captures the image of aThe Implication of revision is This makes the offence of voyeurism gender neutral qua the offender."
20,"IPC Section 509: Whoever, intending to insult the modesty of any woman, utters any words, makes
any sound or gesture, or exhibits changes to BNSClause 78: Whoever, intending to insult the modesty of any woman, utters any words,
makes any sound or gesture,The Implication of revision is The insertion of the phrase in any form expands the scope of the object indicated. However, without any explanation, it"
21,"IPC any object, intending that such word or sound shall be heard, or that such gesture or object shall be seen, by such woman, or intrudes upon the privacy of such woman, shall be punished with simple imprisonment for a term which may extend to three years, and also with fine. changes to BNSor exhibits any object in any form, intending that such word or sound shall be heard, or that such gesture or object shall be seen, by such woman, or intrudes upon the privacy of such woman, shall be punished with simple imprisonment for a term which may extend to three
years, and also with fine.The Implication of revision is remains unclear as to why such expansion was necessary."
22,"IPC Section 498: Whoever takes or entices away any woman who is and whom he knows or has reason to believe to be the wife of any other man, from that man, or from any person having the care of her on behalf of that man, with intent that she may have illicit intercourse with any person, or conceals or detains with that intent any such woman, shall be punished with imprisonment of either description for a term which may extend to two years,
or with fine, or with both. changes to BNSClause 83: Whoever takes or entices away any woman who is and whom he knows or has reason to believe to be the wife of any other man, with intent that she may have illicit intercourse with any person, or conceals or detains with that intent any such woman, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.The Implication of revision is The deletion of the phrase from that man, or from any person having the care of her on behalf of that man broadens the scope of the section inasmuch as where, or from whom, the woman is enticed becomes irrelevant to the offence. Further, while the exclusion serves to remove some patriarchal notions from the code, the section in its entirety still continues to be patriarchal since it takes away the agency of the woman in question."
23,"IPC No equivalent section in the IPC. changes to BNSClause 93: Whoever hires, employs or engages any person below the age of eighteen years to commit an offence shall be punished with imprisonment of either description or fine provided for that offence as if the offence has been committed by such person himself.
Explanation.Hiring, employing, engaging or using a child for sexual exploitation or pornography is covered within the meaning of this
section.The Implication of revision is This is a new provision which criminalises hiring/employing/engaging a minor to commit an offence. However, the explanation to the section is unclear since in a case of hiring, employing, engaging or using a child for sexual exploitation or pornography the child will be a victim, whereas the clause suggests that the child is committing an offence on the instructions of the primary offender."
24,"IPC Section 366A: Whoever, by any means whatsoever, induces any minor girl under the age of eighteen years to go from any place or to do any act with intent that such girl may be, or knowing that it is likely that she will be, changes to BNSClause 94: Whoever, by any means whatsoever, induces any child below the age of eighteen years to go from any place or to do any act with intent that such child below the age of eighteen years mayThe Implication of revision is This provision has been made gender neutral."
25,"IPC No equivalent section in the IPC. changes to BNSClause 101(2): When a group of five or more persons acting in concert commits murder on the ground of race, caste or community, sex, place of birth, language, personal belief or any other ground each member of such group shall be punished with death or with imprisonment for life or imprisonment for a term which shall not be less than seven years, and shall also be
liable to fine.The Implication of revision is This section appears to introduce an aggravated form of murder committed by a group of 5 or more persons acting in concert, and with a specific intent in mind. It provides for a minimum punishment of 7 years, and a maximum of death. At the outset, the meaning of the term acting in concert is undefined. Furthermore, a lesser minimum punishment for an aggravated offence does not adhere to established penological policy."
26,"IPC Section 303: Whoever, being under sentence of imprisonment for life, commits murder shall be punished with death. changes to BNSClause 102: Whoever, being under sentence of imprisonment for life, commits murder, shall be punished with death or with imprisonment for life, which shall mean the remainder of
that persons natural life.The Implication of revision is Section 303 was struck down by the Supreme Court in Mithu v. State of Punjab. It has been reintroduced in the form of Clause 102, with a modification that allows for a mandatory minimum sentence of life imprisonment with no possibility of remission."
27,"IPC Section 304: Whoever commits culpable homicide not amounting to murder shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death; or with imprisonment of either description for a term which may extend to ten years, or with fine, or with both, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death, or to changes to BNSClause 103: Whoever commits culpable homicide not amounting to murder, shall be punished with imprisonment for life, or imprisonment of either description for a term which shall not be less than five years but which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death; or with imprisonment of either description for a term which may extend to ten years and with fine, if the act is done
with the knowledge that it isThe Implication of revision is This provision introduces a mandatory minimum sentence of five years for the offence of culpable homicide not amounting to murder if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death. Additionally, for culpable homicide not amounting to murder where the act is done with the knowledge that it is likely to cause death, but without any intention to cause death, or to cause such bodily injury as is likely to cause death, fine has been made mandatory."
28,"IPC Section 304A: Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. changes to BNSClause 104(1): Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.The Implication of revision is This increases the punishment for rash/negligent homicide from 2 years to 7 years. In the past, there has been a debate on whether 2 years maximum imprisonment for Section 304A is too little. This amendment accordingly increases the punishment, which remains lesser than the maximum punishment for culpable homicide not amounting to
murder, which is conceptually fine."
29,"IPC No equivalent section in the IPC. changes to BNSClause 104(2): Whoever causes death of any person by doing any rash or negligent act not amounting to culpable homicide and escapes from the scene of incident or fails to report the incident to a Police officer or Magistrate soon after the incident, shall be punished with imprisonment of either description of a term which may extend to ten years, and shall also be liable to fine.The Implication of revision is This section introduces an offence of escaping from the scene of a rash/negligent homicide committed by the offender. It also criminalises failure to report the crime after committing it. It is an aggravated form of the offence punished under section 104(1), since it provides a maximum punishment of 10 years. This appears to cover cases of hit and run in cases of vehicular homicides. It also covers all rash/negligent homicides where the offender escapes from the scene of crime or does not report the crime to the
police/Magistrate."
30,"IPC Section 305: If any person under eighteen years of age, any insane person, any delirious person, any idiot, or any person in a state of intoxication, commits suicide, whoever abets the commission of such suicide, shall be punished with death or imprisonment for life, or imprisonment for a term not exceeding ten years, and shall also be liable to fine. changes to BNSClause 105: If any person under eighteen years of age, any person with mental illness, any delirious person or any person in a state of intoxication, commits suicide, whoever abets the commission of such suicide, shall be punished with death or imprisonment for life, or imprisonment for a term not exceeding ten years, and shall
also be liable to fine.The Implication of revision is Replacing the words any insane person and any idiot, with any person with mental illness expands the scope of the section and would cover a larger number of people within the aggravated offence as opposed to the offence under Section 306/Clause 106. Under the IPC, most cases of abetment of suicide are adjudicated under Section
306. However, inclusion of a broad term like mental illness in this context would mean that this provision is invoked more
frequently."
31,"IPC Section 307 (paragraph 2): When any person offending under this section is under sentence of imprisonment for life, he may, if changes to BNSClause 107(2): When any person offending under sub-section (1) is under sentence of imprisonment 45 for life, he may, if hurt is caused, be
punished with death or withThe Implication of revision is In addition to the death penalty, the new provision has an alternative punishment of life imprisonment which extends to the whole of natural life of the convict without the possibility of remission."
32,"IPC Section 309: Whoever attempts to commit suicide and does any act towards the commission of such offence, shall be punished with simple imprisonment for a term which may extend to one year or
with fine, or with both. changes to BNSNo equivalent section in the BNS.The Implication of revision is This provision was, in effect, repealed by way of Section 115 of the Mental Healthcare Act, 2017. It has been removed from the text of the BNS."
33,"IPC Section 310: Whoever, at any time after the passing of this Act, shall have been habitually associated with any other or others for the purpose of committing robbery or child-stealing by means of or accompanied with murder, is a
thug. changes to BNSNo equivalent section in the BNS.The Implication of revision is This is a positive change. This provision previously criminalised people based on their caste and status, such as nomads, etc."
34,"IPC Section 311: Whoever is a thug, shall be punished with imprisonment for life, and shall also be liable to fine. changes to BNSNo equivalent section in the BNS.The Implication of revision is This is a positive change. People were defined as thugs and criminalised based on belonging to the community."
35,"IPC No equivalent section in the IPC. changes to BNSClause 109(1): Any continuing unlawful activity including kidnapping, robbery, vehicle theft, extortion, land grabbing, contract killing, economic offences, cyber-crimes having severe consequences, trafficking in people, drugs, illicit goods or services and weapons, human trafficking racket for prostitution or ransom by the effort of groups of individuals acting in concert, singly or jointly, either as a member of an organised crime syndicate or on behalf of such syndicate, by use of violence, threat of violence, intimidation, coercion, corruption or related activities or other unlawful means to obtain direct or indirect, material benefit including a financial benefit, shall
constitute organised crime.The Implication of revision is This section introduces a new offence of organised crime in the IPC. However, given the manner in which it is worded, without appropriate punctuation marks or sub-sections, it creates confusion on which offences are covered within the ambit of organised crime. For instance, there is a reference to human trafficking racket for prostitution or ransom. What human trafficking for ransom implies is unclear. It also states: by the effort of groups or individuals acting in concert, singly or jointly. It is not clear what is implied by individuals acting in concert, but singly. Further, the phrase cyber crimes having severe consequences has not been defined."
36,"IPC No equivalent section in the IPC. changes to BNSClause 109(1) Explanation: For the purposes of this subsection...: (ii) organised crime syndicate means a criminal organisation or group of three or more persons who, acting either singly or collectively in concert, as a syndicate, gang, mafia, or crime ring indulging in commission of one or more serious offences orinvolved in gang criminality, racketeering, and syndicated organised
crime;The Implication of revision is Some elements of this definition seem to have been borrowed from the Maharashtra Control of Organised Crime Act, 1999 and other similar organised crime statutes in other states. However, it also introduces certain new elements in the provision, which render the provision vague and unclear."
37,"IPC No equivalent section in the IPC. changes to BNSClause 109(1) Explanation: For the purposes of this subsection...: (iii) continuing unlawful activity means an activity prohibited by law, which is a cognizable offence undertaken either singly or jointly, as a member of an organised crime syndicate or on behalf of such syndicate in respect of which more than one charge-sheets have been filed before a competent court within the preceding period of ten years and that court has taken cognizance of such
offence.The Implication of revision is This definition has been borrowed from the Maharashtra Control of Organised Crime Act, 1999 and other similar organised crime statutes in other states."
38,"IPC No equivalent section in the IPC. changes to BNSClause 109(2): Whoever, attempts to commit or  commits an offence of organised crime shall,(i) if such offence has resulted in  the death of any person, be punishable with death or imprisonment for life and shall also be liable to fine which shall not be less than rupees ten lakhs;(ii) in any other case, be punishable with imprisonment for a term  which shall not be less than five years but which may extend to imprisonment for life
and shall also be liable to fineThe Implication of revision is The punishment for attempt to commit the offence and the punishment for actual commission of the offence under this provision is the same. The distinction is instead drawn on the basis of whether a death is caused or not. In the former case, the offence is punishable with imprisonment for life or death.
Otherwise, there is a mandatory minimum sentence of five years, extendable to life imprisonment."
39,"IPC No equivalent section in the IPC. changes to BNSClause 109(3): Whoever, conspires or organises the commission of an organised crime, or assists, facilitates or otherwise engages in any act preparatory to an organised crime, shall be punishable with imprisonment for a term  which shall not be less than five years but which may extend to imprisonment for life and shall also be liable to fine which shall not be less than rupees five lakhs.The Implication of revision is This clause deals with conspiracies, organising the commission of an organised crime, assisting and facilitating organised crime or engaging in preparatory acts. The terms used are wide and vague. For instance, the ambit of preparatory acts may be very wide, thus bringing within the section people who may not even have the relevant intention or knowledge that they are engaging in an act preparatory to an organised crime. From a penological perspective, the clause provides the same punishment for conspiracy and abetment, as it does for membership,
thus equating these offences."
40,"IPC No equivalent section in the IPC. changes to BNSClause 109(4): Any person  who is a member of an organised crime syndicate shall be punishable with imprisonment for a term  which shall not be less than five years but which may extend to imprisonment for life and shall also be liable to fine which shall not be less than rupees five lakhs.The Implication of revision is This section is taken from the MCOCA. The punishment is also the same.
Jurisprudence from MCOCA will apply."
41,"IPC No equivalent section in the IPC. changes to BNSClause 109(5): Whoever, intentionally harbours or conceals or attempts to harbour or conceal any person who has committed the offence of an organised crime or any member of an organised crime syndicate or believes that his act will encourage or assist the doing of such crime shall be punishable with imprisonment for a term which shall not be less than three years but which may extend to imprisonment for life and shall also be liable to fine which shall not be less than rupees five lakhs: Provided that this sub-section shall not apply to any case in which the harbour or concealment is by the spouse
of the offender.The Implication of revision is This section is taken from MCOCA. The proviso is from UAPA. The jurisprudence from these legislations will apply."
42,"IPC No equivalent section in the IPC. changes to BNSClause 109(6): Whoever, holds any property derived, or obtained from the commission of an organised crime or proceeds of any organised crime or which has been acquired through the organised crime syndicate funds shall be punishable with imprisonment for a term which shall not be less than three years but which may extend to imprisonment for life and shall also be liable to fine which shall not be less than
rupees two lakhs.The Implication of revision is This section is taken from MCOCA, save for the term proceeds of any organised crime, which has been defined in the explanation. The proviso is from UAPA. The jurisprudence from these legislations will apply."
43,"IPC No equivalent section in the IPC. changes to BNSClause 109(7): If any person on behalf of a member of an organised crime syndicate is, or at anytime has been in possession of movable or immovable property which he cannot satisfactorily account for, shall be punishable with imprisonment for a term which shall not be less than three years but which may
extend to imprisonment for tenThe Implication of revision is This section is taken from MCOCA. The proviso is from UAPA. The jurisprudence from these legislations will apply."
44,"IPC No equivalent section in the IPC. changes to BNSClause 109: Explanation. For the purposes of this section, proceeds of any organised crime means all kind of properties which have been derived or obtained from commission of any organised crime or have acquired through funds traceable to any organised crime and shall include cash, irrespective of person in whose name such proceeds are standing or in whose possession they are
found.The Implication of revision is This provides a broad definition to the term proceeds of an organized crime, and can thus be overinclusive. Currently, there is debate and criticism of similar provisions in the Prevention of Money Laundering Act, which have not been taken into consideration while drafting this clause of the BNS."
45,"IPC No equivalent section in the IPC. changes to BNSClause 110. (1) Any crime that causes general feelings of insecurity among citizens relating to theft of vehicle or theft from vehicle, domestic and business theft, trick theft, cargo crime, theft (attempt to theft, theft of personal property), organised pick pocketing, snatching, theft through shoplifting or card skimming and Automated Teller Machine thefts or procuring money in unlawful manner in public transport system or illegal selling of tickets and selling of public examination question papers and such other common forms of organised crime committed by organised criminal groups or gangs, shall constitute petty organised crimes and shall
include the said crimes whenThe Implication of revision is This provision has vague and broad terms such as general feelings of insecurity among citizens. It also consists of terms such as mobile organised crime groups. This may lead to criminalisation of individuals/groups who are nomadic, which is was the rationale behind the repealed Criminal Tribes Act."
46,"IPC No equivalent section in the IPC. changes to BNS(2) Whoever commits or attempts to commit any petty organised crime, under sub- section (1) shall be punished with imprisonment for a term which shall not be less than one year but which may extend to seven years, and
shall also be liable to fine.The Implication of revision is This is the penal section for Clause
110(1). Like in Clause 109(2) the punishment for attempting the crime, and for committing the crime, is identical."
47,"IPC No equivalent section in the IPC. changes to BNSClause 111(1): A person is said to have committed a terrorist act if he commits any act in India or in any foreign country with the intention to threaten the unity, integrity and security of India, to intimidate the general public or a segment thereof, or to disturb
public order by doing an act,The Implication of revision is A large part of Clause 111(1) is taken from Section 15 of the Unlawful Activities (Prevention) Act, 1967. The jurisprudence that has emerged in the context of Section 15 of the UAPA will apply."
